"Accession identifer","Simple name",Material,Provenance,Period,"Donated by","Dimensions (mm)","Paper data available (NEWMA objects)","MMH pic?","Extra info"
Daggers,,,,,,,,,
"NEWMA : 1964.2",Dagger,Bronze,"Reaverhill, Barrasford","Early Bronze Age","Lt. Colonel R. Taylor, Wark",,"NEMS Cons. Report / B&W cons. Photos / AA articles x 2 / element analyses report 1990",,"Discovered in stone cist during ploughing.  Excavated on 16/1/64 by G. Jobey , D.J. Smith & J. Tait."
"NEWMA : 1951.1",Dagger,Bronze,Hartburn,"Bronze Age","Mr. W.M. Robson, Morpeth","205 x 52 x 3",Label,,
"NEWMA : 1853.5",Dagger,Bronze,Carham,"Early Bronze Age","Mr. J. Hodgson","197 x 48 x 6, rivet: 16 x 3","AA ref / labels",,
"NEWMA : 1934.21",Dagger,Bronze,"Chapel Fell",,"M. McIntyre & J. D. Cowen","125 x 11 x 3","PSAN refs x 2 / label",,
"NEWMA : 1981.21",Dagger,Bronze,"Cartington Pike","Bronze Age","Wellcome Institute, London",,"Donor letter / correspondence / object drawing",,"Discovered 1890, may have come from a cist."
"NEWMA : 1972.4",Dagger,Bronze,Allerwash,"Early Bronze Age","Mrs. Leslie Newall, Hexham","Length: 186","B&W cons. Photos / B&W excav. Photos / donor letter & reply / excav. Report / orig. news cutting / AA articles",,"Found in a cist with skeletal remains.  NY 871 673.  Omega hilt."
"NEWMA : 1852.101",Dagger,Bronze,Ireland,,"Duke of Northumberland",,"Curatorial notes",,
"NEWHM : Z334",Dagger,Flint,Tarset,,"Mr. Robson (collected by)","125 x 55",,,
"TWCMS : H6439",Dagger,Flint,,,,,,,
Swords,,,,,,,,,
"NEWMA : 1814.22.1",Sword,Bronze,"Ewart Park","Late Bronze Age","Mrs. St. Paul","Total L: 572, L of hilt: 64 (incompl.) ","AA ref ",,
"NEWMA : 1814.22.2",Sword,Bronze,"Ewart Park","Late Bronze Age","Mrs. St. Paul","Total L: 502, L of hilt: 25 (incompl.)","AA ref",,
"NEWMA : 1932.2",Sword,Bronze,"Ewart Park",,"G. Butler Esq,  Ewart Park, Wooler","648 x 44.5 (blade) 54 (hilt) x 8 (blade) 6.5 (hilt)","PSAN ref / AA ref / label",,"Buried with points downwards and hilts  15.25cm below the surface"
"NEWMA : 1932.21",Sword,Bronze,"East Brandon Hill","Late Bronze Age","G. H. Allgood Esq, Nunwick","597 x 36.5 (blade) 48 (hilt) x 8 (blade) 5 (hilt)","PSAN ref / AA ref / label",,
"NEWMA : 1956.236.1",Sword,,Whittingham,"Bronze Age","Lord Ravensworth","578 x 27 (blade) 51 (hilt) x 6.5","Label / AA Article",,"Buried point downwards. Discovered 1847."
"NEWMA : 1956.236.2",Sword,,Whittingham,"Bronze Age","Lord Ravensworth","749 (blade) x 44.5 (blade) 17.5 (hilt)","Label / AA Article",,"Buried point downwards.  Discovered 1847."
"NEWMA : 1888.21",Sword,Bronze,Cragside,"Late Bronze Age","Lord Armstrong","594 x 38 x 6",,,"Found in a stream"
"NEWMA : 1932.22",Sword,Bronze,Medomsley,"Late Bronze Age","G. H. Allgood Esq, Nunwick","537 x 35 (blade)  48 (hilt) x 6.5 (blade) 5 (hilt)","PSAN ref / AA ref",,
"NEWMA : 1929.67","Sword (Halstatt)",Bronze,"River Tyne",,"T. J. Bell","blade length 603","Articles x 2 (name/author unknown)",,"NGR: NZ365682"
"NEWMA : 1886.23",Sword,Bronze,"River Tyne","Late Bronze Age","Lent by River Tyne Commissioners","Total length: 700, blade length: 600 (32 wide in centre, 60 wide next to hilt), hilt length: 114",,,"NGR: NZ 254638.  Dredged from River Tyne"
"Axe hammers & mauls",,,,,,,,,
"NEWMA : 1961.8",Maul,Stone,"West Chilton","Early Bronze Age","Mr. F. J. Burlinson, Darlington",,"AA (original)",,"Found by schoolboy in a garden that used to be a ploughed field."
"NEWMA : 1960.45",Maul,Stone,Greenleigh,"Early Bronze Age","Mr. H. Johnson, per Mrs. Joan Gale, Rothbury (on loan from)",,"Geological report / AA (original)",,"NGR: NZ 027920"
"NEWMA : 1942.1","Axe hammer",Stone,Gunnerton,,"Mr. Arthur Camphill (Northumberland Whinstone Co.), per Mr. W. Soden Bird","270 x 89 x 108",Label,,"Found at bottom of quarry after falling from working face near surface."
"NEWMA : 1899.2","Axe hammer","Stone: granulite",Whickham,,"Mr R. Newton","219 x 80 x 111",Label,,"Probably granulite. NGR: NZ 207601.  Discovered by James Wardhaugh, item apparently associated with a burial"
"NEWMA : 1933.38","Axe hammer",,"Scot's Dyke",,"Mr. J. McIntyre, Bishop Auckland","197 x 73 x 98","PSAN refs x 2",,
"NEWMA : 1981.5","Axe hammer",Stone,Corbridge,"Early Bronze Age","G. Hall, Corbridge",,,,"Discovered when removing an outhouse wall in backyard of Hall's butcher shop in Corbridge.  NGR: NY 989 645"
"NEWMA : 1945.1","Axe hammer",Stone,Sunderland,,"Mrs. Hodgkin, Stocksfield","20 x 73 x 57.  Pitted incided lines 1.5-3 wide, 1.5 deep",Label,,
"NEWMA : 1973.3",Axehammer,,"Blackhall Mill","Early Bronze Age","Per G. Jobey","224 in length",,,"NGR: NZ 122569.  Found in the 1930s during house building."
"NEWMA : 1931.45","Axe hammer",,"Wimpole, Cambs.",,"The Pease family",,"PSAN ref",,
"NEWMA : 1814.1","Axe hammer",,"Nr. Kirkoswald Castle, Cumberland",,"Mrs. Atkinson, Temple Sowerby","203 x 65 x 81","Photocopy of original donations book / label",,
"NEWMA : 1956.104.A","Axe hammer?",,Denmark,"No accession card /paper info",,,,,
"NEWMA : 1973.1","Axe hammer",Stone,"Haydon Bridge or Housesteads","Early Bronze Age","Mr. N.T. Scott, Cullercoats","L: 168, max w: 73, max h: 51, hole diam: 35","Donor letter (orginal & copy)",,
"NEWHM : Z206","Grooved hammerhead","Polished stone","North America",,,,,,"Lent by Society of Antiquaries. Old no- 1912.2"
"NEWHM : Z204","Grooved hammerhead",Stone,"North America",,,,,,"Lent by Society of Antiquaries."
"NEWHM : Z214","Grooved hammerhead",Stone,"North America",,,,,,"Lent by Society of Antiquaries."
"NEWHM : Z220","Grooved hammerhead",Stone,"North America",,,,,,"Lent by Society of Antiquaries."
"TWCMS : H6416",Hammerhead,,,,,,,,
"TWCMS : H6417",Hammerhead,,,,,,,,
"TWCMS : H6419",Hammerhead,,,,,,,,
"TWCMS : H6418",Hammerhead,,,,,,,,
Axes,,,,,,,,,
"NEWMA : 1990.7",Axehead,Stone,Gateshead,Neolithic,"Mrs. E. Saunders, Gateshead",,"Aquisition form / notes from donor / AA article",,"discovered 1970-75.  Found 2.5-3m down by workman digging pit in factory for concrete foundations for heavy machine.  Found 30cm from a human skull."
"NEWMA : 1956.278",Axehead,"Stone: flint","Made from local stone",,,,,,
"NEWMA : 1947.7",Axehead,"Stone: flint",Cheviots?,"Neolithic/Bronze age","J.D. Cowen","184 x 32 x 22",,,"Discovered August 1938.  Bought from G.T. Lowes, Allendale who got it from cottagers in Cheviot area, but no provenance available.  Neolithic, but finished technique of the Bronze Age.  Axehead type rare in this country."
"NEWMA : 1935.31",Axehead,,Budle,Neolithic,"Mr. A.R. Robson, Swarland","Length: 133, Cutting edge: 57",Label,,
"NEWMA : 1977.1",Axehead,,"Made from local stone",,,,,,
"NEWMA : 1932.68",Axehead,,Elsdon,Neolithic,"R.C. & W.P.  Hedley, Corbridge","104 x 57 x 33","PSAN ref",,
"NEWMA : 1946.8",Axehead,,"Made from local stone",,,,,,
"NEWMA : 1920.4",Axehead,"Stone: Cornish greenstone",Rookhope,Neolithic,,"147 x 47 x 36","PSAN ref / petrology report",,"Weight: 15.5 ozs.  Found in a stonewall in Rookhope."
"NEWMA : 1949.1","Axehead ","Stone: Cornish greenstone","Lilburn Grange",,"Dr. E.F. Collingwood, Chathill","157 x 77 x 40","Label / petrology report (in 1920.4 envelope)",,"Discovered 1948."
"NEWMA : 1929.19","Axehead ","Stone: olivine basalt","Kyloe Crags, Jedburgh",Neolithic,"Capt. C. D. Leyland, Haggerston Castle","113 x 62 x 22","PSAN ref/ label",,"Weight: 11.5 ozs.  Quartz dolerite"
"NEWMA : 1949.3","Axehead ",Stone,"Probably Scotland, found at Fowberry",,"A.W. Milburn, Fowberry Towers","264 x 83 x 61","Petrology report (in 1920.4 envelope)",,
"NEWMA : 1960.7","Langdale axehead",Stone,Morpeth,"Secondary neolithic",,,,,
"NEWMA : 1932.14.2a","Langdale axehead","Stone: dolerite",Burradon,Neolithic,"Mr. W. Hall D. Sc., Tynemouth (lent by)","79 x 60 x 28","PSAN ref",,"Close grained quartzite"
"NEWMA : 1926.16","Langdale axehead","Stone: sandstone",Westerhope,Neolithic,"T. R. Williams OBE, Jesmond","78 x 44.5 x 19","Miket 1980 ref / AA ref / PSAN ref",,"Weight: 3.5 ozs.  Silicified sandstone impregnated with ferruginous matter.  NGR: NZ 195667"
"NEWMA : 1971.9","Langdale axehead",Stone,Kielder,Neolithic,"Mr. Brian Long, Kielder",,"AA ref / Acc. Register record",,"Discovered 19/3/1970 at Bells Burn- found on open slopes of the fell.  NGR: NY 59592943"
"NEWMA : 1960.7",Axehead,,Doddington,,,,,,
"NEWMA : 1978.1",Axe,Stone,"Hawkhill Farm, Alnwick",Neolithic,"Mr. P.J. Cheffings, Alnwick",,"Handwritten notes / B&W photos / letter to donor",,"NU 216 124"
"NEWMA : 1964.3",Axe,Stone,Kyloe,"Secondary neolithic","Mr. S. Dunn, Lowick (per Ordinance Survey, Edinburgh)",,"Donation letter",,"NU 05654084.  Discovered 1952 near Cockleman's quarry."
"NEWMA : 1963.8","Polished axehead",Stone,"Holywell/Seaton Delaval","Secondary neolithic","A. P. Thompson, Holywell (per Hancock Museum)","L: 159","Original note from the Hancock Museum re. identification",,
"NEWMA : 1985.27",Axe,Stone,Hexham,Neolithic,"Royal Albert Memorial Museum, Exeter",,,,
"NEWMA : 1984.8.A",Axe,"Stone: flint","Millfield, Berwick","Bronze Age","R.F. Miket",,,,
"NEWMA : 1978.21",Axe,Stone,Corbridge,Neolithic,"R. Coleman-Smith, Dept. of Education, Newcastle University","125 x 65-40 x 35","AA ref / letters to donor",,"NGR: NY 987 652.  Found under a hedge.  Fine-grained olive-green stone (igneous?)"
"NEWMA : 1933.2","Polished axehead",Stone,Framlington,Neolithic,"A.R. Robson, Swarland (loaned by)","165 x 60 x 22","PSAN ref / label",,
"NEWMA : 1814.11","Polished axehead","Stone: felsite","Throckley fell",Neolithic,"Mr. Joseph Forster","210 x 77 x 25","AA ref / NCH ref / Miket 1984 ref / labels",,"Weight: 1lb 14ozs.  Probably felsite.  NGR: NZ147665 or NZ 150676"
"NEWMA : 1992.5",Axehead,Stone,"North Africa",,"S.A. Stewart, Seaham",,,,"Found by oil workers near Rubari, Libya."
"NEWMA : 1946.5","Polished axehead","Stone: flint",Bockenfield,Neolithic,"A.R. Robson, Swarland","122 x 63.5 x 32",,,
"NEWMA : 1964.9","Polished axehead",Stone,"Near Caistron, River Coquet, Northumberland",Neolithic,"Mr. R. Jackson, Ponteland",,"Id-donation form / letter to donor",,"Found, according to the donor,  ""in gravel near Caistron, River Coquet."""
"NEWMA : 1915.4","Axehead and facsimile haft","Stone: greenstone","Great Langdale, Witton Gilbert",Neolithic,"Rev. A. Watts, Witton Gilbert","237 x 65 x 36","Query letter from donor's family & reply / label",,"Greenstone.  Typologically latest of stone axes in this collection.  Found under  1.5m of peat in old bed of River Browney in 1913/14 when making sewage works."
"NEWMA : 1956.279",Axehead,Stone,"Penrith Beacon, Cumberland",Neolithic,,"148 x 58 x 27",,,
"NEWMA : 1956.18.A","Polished axehead",Stone,Unknown,Neolithic,"No accession card info",,,,
"NEWMA : 1945.2","Polished axehead","Stone: flint",Acklington,Neolithic,"A.R. Robson, Swarland (per W. P. Hedley)","105 x 54 x 19",,,"Found by airman at aerodrome"
"NEWMA : 1956.5",Axehead,Stone,Unknown,,,,,,
"NEWMA : 1932.88",Axehead,Stone,Warkworth,Neolithic,"Mrs. D. Straughan, Alnwick","L: 181 (cutting edge length 63.5)","PSAN refs x 2",,"Said to have been others similar but they were used up in road making.  Possibly quartz-dolerite but too patinated to be sure."
"NEWMA : 1956.97",Axehead,Stone,"Percy's Cross, Otterburn",Neolithic,"Mr. Heatherley","140 x 68 x 34",,,"Weight: 11lbs 0.5 oz"
"NEWMA : 1932.65",Axehead,"Stone: quartz dolerite","West Hallington",Neolithic,"R.C. & W.P.  Hedley, Corbridge","185 x 61 x 28","PSAN ref / label",,"found when making Hallington Reservoir"
"NEWMA : 1932.89",Axehead,"Stone: quartz dolerite",Earsdon,Neolithic,"Hancock Museum (on permanent loan)","127 x 65 x 27","PSAN ref",,"NGR: 322725"
"NEWMA : 1948.1",Axehead,Stone,"West Woodburn?",,"Mr. W. Wallace, West Woodburn postmaster","162 x 85 x 29",,,"Langdale Pyke stone.  Found by a postman in a dry stone wall."
"NEWMA : 1934.3",Axehead,Stone,"Chevington Wood, Amble",Neolithic,"Mr. W. Walker, Amble","240 x 75 x 40","PSAN ref",,"Scored by plough(?) in places.  Stone id. difficult due to patination."
"NEWMA : 1929.18",Axehead,"Stone: hornfels","Kyloe Crags",Neolithic,"Capt. C. D. Leyland, Haggerston Castle","95 x 48 x 25","PSAN ref / label",,"Found in a whinstone quarry, Langdale pike stone, grey green hornfells"
"NEWMA : 1956.151.32.A",Axehead,Stone,Housesteads,Neolithic,"J B Clayton","97 x 55 x 22",,,"Weight: 5 ozs.  Discovered 1898"
"NEWMA : 1865.2",Axehead,Stone,"Shaw Farm, Bellingham",Neolithic,"Mr. Lamb","78 x 47 x 22","Article (name/author unknown)",,"Weight: 135g.  Made from Langdale Pike stone"
"NEWMA : 1937.9",Axehead,Stone,Corbridge,,"Trustees of the Corbridge Excavation Fund (on loan from)","92 x 51 x 18",,,
"NEWMA : 1933.1",Axehead,"Stone: quartz dolerite","Bowsden Moor, Lowick",Neolithic,"J. H. Craw, FSA Scot, Edinburgh","114 x 65 x 23","PSAN ref",,
"NEWMA : 1936.12",Axehead,"Stone: quartz dolerite",Goswick,Neolithic,"Mr. T. Shortt, Beal (on loan from)","134 x 60 x 34",,,"Found 21m from high water mark during drain digging"
